,target,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,1.0,6.042084889230375e-05,0.3972602739726027,0.0,1.185368865247996e-06,0.015547758191224371,0.18367346938775508,0.0,0.11764705882352941,0.0,0.14285714285714285
1,1.0,6.275777897297989e-05,0.0684931506849315,0.0,1.7876964342135692e-06,0.0013232899022801302,0.08163265306122448,0.0,0.0,0.0,0.0
2,0.0,8.201119989755409e-06,0.46575342465753417,0.0,1.1825673694873957e-06,0.00574822762981414,0.18367346938775508,0.0,0.058823529411764705,0.0,0.2857142857142857
3,1.0,6.410124587014982e-05,0.3835616438356165,0.01020408163265306,1.133904485653141e-06,0.005320703199846713,0.12244897959183673,0.01020408163265306,0.0,0.02040816326530612,0.2857142857142857
4,0.0,0.0,0.4520547945205479,0.0,0.003325722066051902,9.580379383023568e-07,0.14285714285714285,0.0,0.058823529411764705,0.0,0.0
5,1.0,0.0001427664699705468,0.0684931506849315,0.0,1.1529049872801716e-06,0.0032333780417704537,0.1020408163265306,0.01020408163265306,0.0,0.01020408163265306,0.14285714285714285
6,0.0,5.1631913561275444e-05,0.0547945205479452,0.0,6.512467386099719e-09,0.0035926422686338375,0.02040816326530612,0.0,0.0,0.0,0.0
7,1.0,1.8494384556281214e-05,0.32876712328767127,0.0,1.4397146067928116e-06,0.008143322475570033,0.2040816326530612,0.01020408163265306,0.11764705882352941,0.01020408163265306,0.42857142857142855
8,1.0,8.851214137533616e-05,0.3150684931506849,0.0,2.3618923716860854e-06,0.008981605671584594,0.4081632653061224,0.0,0.23529411764705882,0.0,0.7142857142857142
9,0.0,4.284975579459598e-05,0.5068493150684932,0.0,1.5100739704430929e-06,0.00439020885227055,0.16326530612244897,0.0,0.058823529411764705,0.0,0.0
10,0.0,1.0879013317966449e-05,0.4520547945205479,0.0,6.132220530226286e-06,0.001437056907453535,0.18367346938775508,0.0,0.058823529411764705,0.0,0.14285714285714285
11,1.0,0.0002050619674734281,0.46575342465753417,0.01020408163265306,4.400775762945398e-07,0.004191415980072811,0.04081632653061224,0.0,0.0,0.0,0.14285714285714285
12,1.0,0.00012805735689588936,0.2602739726027397,0.0,1.693382203966762e-07,0.004790189691511784,0.08163265306122448,0.0,0.0,0.0,0.0
13,1.0,0.000126474114995518,0.27397260273972607,0.0,0.005449493649857817,2.395094845755892e-07,0.1020408163265306,0.0,0.058823529411764705,0.0,0.2857142857142857
14,0.0,1.2145603534383404e-05,0.32876712328767127,0.0,0.02619209709414627,2.395094845755892e-07,0.18367346938775508,0.0,0.3529411764705882,0.0,0.2857142857142857
15,0.0,8.244988462030989e-05,0.24657534246575336,0.01020408163265306,1.4861657616750434e-06,0.011975474228779459,0.2857142857142857,0.0,0.11764705882352941,0.0,0.42857142857142855
16,0.0,8.678320937379947e-05,0.5890410958904109,0.0,1.8050769215735452e-06,0.006388915501053841,0.18367346938775508,0.0,0.058823529411764705,0.0,0.14285714285714285
17,0.0,0.0001278585087719298,0.3150684931506849,0.0,0.01247878671404979,0.0,0.16326530612244897,0.0,0.11764705882352941,0.0,0.5714285714285714
18,0.0,2.325211806889486e-05,0.1917808219178082,0.0,2.4352565203370675e-06,0.002395094845755892,0.08163265306122448,0.0,0.058823529411764705,0.0,0.2857142857142857
19,1.0,0.00012805735689588936,0.35616438356164376,0.01020408163265306,2.6167523004811057e-06,0.0029339911860509675,0.08163265306122448,0.0,0.058823529411764705,0.01020408163265306,0.0
20,0.0,8.861749263670124e-06,0.2876712328767123,0.0,0.000338761111527324,1.1975474228779459e-06,0.18367346938775508,0.0,0.0,0.0,0.0
21,1.0,0.00011573950326546292,0.30136986301369856,0.01020408163265306,4.177245210927652e-06,0.004514753784249856,0.14285714285714285,0.04081632653061224,0.1764705882352941,0.02040816326530612,0.2857142857142857
22,1.0,5.176926213343577e-05,0.2876712328767123,0.04081632653061224,1.2536832648753586e-06,0.008981605671584594,0.3877551020408163,0.0,0.058823529411764705,0.02040816326530612,0.14285714285714285
23,1.0,0.00012891051671148673,0.30136986301369856,0.0,5.414794349204073e-07,0.0032333780417704537,0.08163265306122448,0.0,0.0,0.0,0.14285714285714285
24,1.0,5.3244804712511206e-05,0.4931506849315069,0.01020408163265306,1.1108824303503898e-06,0.017812320367886568,0.3877551020408163,0.0,0.058823529411764705,0.0,0.42857142857142855
25,0.0,0.00012805735689588936,0.0684931506849315,0.0,0.000592831945172817,9.580379383023568e-07,0.061224489795918366,0.0,0.0,0.0,0.05714285714285714
26,1.0,0.00011486873697016263,0.3835616438356165,0.0,1.3475298126064736e-09,0.02315697451619084,0.02040816326530612,0.0,0.0,0.0,0.0
27,0.0,6.646470738891024e-07,0.4520547945205479,0.0,1.1236343855557475e-06,0.003192661429392604,0.12244897959183673,0.0,0.058823529411764705,0.0,0.2857142857142857
28,1.0,0.00012946892239723397,0.0410958904109589,0.01020408163265306,1.5678378930361789e-06,0.002307673883885802,0.24489795918367346,0.0,0.0,0.0,0.0
29,0.0,3.925051735177359e-06,0.7671232876712328,0.0,5.597498184045003e-07,0.008981605671584594,0.2040816326530612,0.0,0.058823529411764705,0.0,0.14285714285714285
30,1.0,0.00013501217479830962,0.4383561643835617,0.1020408163265306,1.0801904130605437e-06,0.004191415980072811,0.14285714285714285,0.030612244897959183,0.0,0.01020408163265306,0.0
31,0.0,3.1081359841208855e-05,0.3424657534246575,0.0,6.415634085882456e-07,0.005987737114389729,0.24489795918367346,0.0,0.058823529411764705,0.0,0.42857142857142855
32,1.0,0.00012767358138045845,0.41095890410958896,0.02040816326530612,0.004670994557020987,7.185284537267675e-07,0.08163265306122448,0.0,0.0,0.0,0.0
33,1.0,0.00012805735689588936,0.27397260273972607,0.02040816326530612,2.5680424167999456e-07,0.015142987162291626,0.04081632653061224,0.030612244897959183,0.0,0.01020408163265306,0.14285714285714285
34,1.0,0.00018464085862466385,0.1095890410958904,0.01020408163265306,5.697717303852431e-07,0.002634604330331481,0.1020408163265306,0.02040816326530612,0.0,0.0,0.0
35,0.0,7.252035356639773e-05,0.1917808219178082,0.01020408163265306,1.6950094397086652e-06,0.0028501628664495114,0.16326530612244897,0.0,0.058823529411764705,0.0,0.0
36,0.0,4.108238686131387e-05,0.3698630136986301,0.0,0.018205152426213594,2.395094845755892e-07,0.4693877551020408,0.0,0.11764705882352941,0.0,0.2857142857142857
37,0.0,5.801693046484825e-06,0.136986301369863,0.0,4.4293624450734685e-08,0.008981605671584594,0.1020408163265306,0.0,0.0,0.0,0.2857142857142857
38,0.0,2.6536417723139968e-05,0.726027397260274,0.0,2.236404295100016e-06,0.004790189691511784,0.4693877551020408,0.0,0.11764705882352941,0.0,0.14285714285714285
39,1.0,0.00010048426635932897,0.1095890410958904,0.0,5.755704932557222e-07,0.005508718145238551,0.18367346938775508,0.0,0.0,0.0,0.0
40,0.0,0.00012805735689588936,0.1643835616438356,0.01020408163265306,4.5699870684460316e-08,0.006485916842306955,0.0,0.0,0.0,0.01020408163265306,0.42857142857142855
41,1.0,0.00012275935753617618,0.4383561643835617,0.01020408163265306,1.6338625737375446e-06,0.0014981318260203103,0.08163265306122448,0.0,0.0,0.0,0.0
42,0.0,3.1751877321039827e-06,0.30136986301369856,0.0,1.3538376813104844e-06,0.008273855144663727,0.1020408163265306,0.0,0.11764705882352941,0.0,0.42857142857142855
43,0.0,0.00013174626507875527,0.0821917808219178,0.01020408163265306,0.000169380555763662,0.001477294500862234,0.08163265306122448,0.0,0.0,0.0,0.02857142857142857
44,1.0,1.7941641695479573e-05,0.35616438356164376,0.0,4.2320934459496864e-07,0.00531711055757808,0.1020408163265306,0.01020408163265306,0.0,0.02040816326530612,0.42857142857142855
45,0.0,2.7509605455243948e-05,0.3424657534246575,0.0,5.825009234497607e-07,0.008155297949798811,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
46,1.0,0.00011155261147394032,0.46575342465753417,0.01020408163265306,2.2181552177354472e-06,0.008981605671584594,0.14285714285714285,0.0,0.11764705882352941,0.0,0.0
47,1.0,8.103487808938404e-05,0.5753424657534245,0.01020408163265306,4.146435278712447e-06,0.005149453918375168,0.42857142857142855,0.0,0.11764705882352941,0.01020408163265306,0.0
